 on 25 : off 25
5	 2	 0	 0	 
79	 2	 0	 0	 
130	 2	 0	 0	 
195	 2	 0	 0	 
218	 2	 0	 0	 
235	 2	 0	 0	 
258	 2	 0	 0	 
318	 2	 0	 0	 
351	 3	 0	 0	 
363	 3	 0	 0	 
395	 3	 0	 0	 
407	 3	 0	 0	 
430	 12	 0	 0	 
455	 18	 0	 0	 
470	 29	 0	 0	 
492	 43	 0	 0	 
502	 43	 0	 0	 
537	 45	 0	 0	 
561	 44	 0	 0	 
595	 45	 0	 0	 
638	 45	 0	 0	 
718	 46	 0	 0	 
742	 45	 0	 0	 
808	 44	 0	 0	 
828	 41	 0	 0	 
866	 36	 0	 0	 
895	 17	 0	 0	 
917	 5	 0	 0	 
932	 4	 0	 0	 
959	 4	 0	 0	 
987	 4	 0	 0	 
1,004	 4	 0	 0	 
1,046	 4	 0	 0	 
1,056	 4	 0	 0	 
1,084	 4	 0	 0	 
1,094	 7	 0	 0	 
1,146	 14	 0	 0	 
1,163	 43	 0	 0	 
1,207	 45	 0	 0	 
1,220	 44	 0	 0	 
1,230	 44	 0	 0	 
1,251	 44	 0	 0	 
1,290	 46	 0	 0	 
1,304	 46	 0	 0	 
1,402	 45	 0	 0	 
1,427	 45	 0	 0	 
1,466	 45	 0	 0	 
1,489	 43	 0	 0	 
1,504	 43	 0	 0	 
1,538	 41	 0	 0	 
1,574	 27	 0	 0	 
1,584	 19	 0	 0	 
1,599	 8	 0	 0	 
1,638	 3	 0	 0	 
1,648	 3	 0	 0	 
1,683	 3	 0	 0	 
1,732	 5	 0	 0	 
1,759	 7	 0	 0	 
1,786	 8	 0	 0	 
1,803	 10	 0	 0	 
1,820	 18	 0	 0	 
1,837	 37	 0	 0	 
1,871	 43	 0	 0	 
1,917	 42	 0	 0	 
1,951	 40	 0	 0	 
1,976	 41	 0	 0	 
1,990	 41	 0	 0	
