on 20 : off 28
5	 32	 0	 0	 
36	 33	 0	 0	 
53	 35	 0	 0	 
80	 37	 0	 0	 
97	 41	 0	 0	 
126	 38	 0	 0	 
158	 37	 0	 0	 
168	 34	 0	 0	 
196	 36	 0	 0	 
206	 37	 0	 0	 
237	 37	 0	 0	 
272	 35	 0	 0	 
293	 26	 0	 0	 
303	 8	 0	 0	 
322	 3	 0	 0	 
371	 3	 0	 0	 
416	 3	 0	 0	 
443	 3	 0	 0	 
460	 6	 0	 0	 
472	 9	 0	 0	 
491	 13	 0	 0	 
563	 44	 0	 0	 
631	 47	 0	 0	 
656	 48	 0	 0	 
686	 47	 0	 0	 
717	 47	 0	 0	 
750	 43	 0	 0	 
775	 33	 0	 0	 
809	 25	 0	 0	 
819	 12	 0	 0	 
841	 6	 0	 0	 
865	 4	 0	 0	 
892	 4	 0	 0	 
931	 4	 0	 0	 
991	 6	 0	 0	 
1,006	 13	 0	 0	 
1,019	 18	 0	 0	 
1,048	 22	 0	 0	 
1,058	 29	 0	 0	 
1,077	 42	 0	 0	 
1,109	 45	 0	 0	 
1,160	 45	 0	 0	 
1,183	 44	 0	 0	 
1,215	 42	 0	 0	 
1,237	 35	 0	 0	 
1,275	 23	 0	 0	 
1,285	 20	 0	 0	 
1,296	 20	 0	 0	 
1,306	 11	 0	 0	 
1,337	 7	 0	 0	 
1,347	 3	 0	 0	 
1,377	 3	 0	 0	 
1,425	 3	 0	 0	 
1,474	 10	 0	 0	 
1,501	 8	 0	 0	 
1,528	 8	 0	 0	 
1,577	 43	 0	 0	 
1,629	 42	 0	 0	 
1,649	 38	 0	 0	 
1,689	 39	 0	 0	 
1,719	 39	 0	 0	 
1,749	 39	 0	 0	 
1,799	 39	 0	 0	 
1,827	 41	 0	 0	 
1,901	 33	 0	 0	 
1,928	 21	 0	 0	 
1,939	 18	 0	 0	 
1,949	 9	 0	 0	 
1,992	 2	 0	 0	
